"work_year","job_title","job_category","salary_currency","salary","salary_in_usd","employee_residence","experience_level","employment_type","work_setting","company_location","company_size"
"2023","Data Scientist","Data Science and Research","USD","150000","150000","United States","Senior","Full-time","In-person","United States","M"
"2023","Data Engineer","Data Engineering","USD","232200","232200","United States","Senior","Full-time","Remote","United States","M"
"2023","Data Engineer","Data Engineering","USD","167200","167200","United States","Senior","Full-time","Remote","United States","M"
"2023","BI Developer","BI and Visualization","USD","197000","197000","United States","Senior","Full-time","In-person","United States","M"
"2023","BI Developer","BI and Visualization","USD","106000","106000","United States","Senior","Full-time","In-person","United States","M"
"2023","Research Scientist","Data Science and Research","USD","180000","180000","United States","Senior","Full-time","In-person","United States","M"
"2023","Research Scientist","Data Science and Research","USD","145000","145000","United States","Senior","Full-time","In-person","United States","M"
"2023","Data Lead","Leadership and Management","USD","225000","225000","United States","Senior","Full-time","In-person","United States","M"
"2023","Data Lead","Leadership and Management","USD","200000","200000","United States","Senior","Full-time","In-person","United States","M"
"2023","Data Engineer","Data Engineering","USD","170000","170000","United States","Senior","Full-time","Remote","United States","M"
"2023","Data Engineer","Data Engineering","USD","114000","114000","United States","Senior","Full-time","Remote","United States","M"
"2023","Data Engineer","Data Engineering","USD","291500","291500","United States","Senior","Full-time","In-person","United States","M"
"2023","Data Engineer","Data Engineering","USD","180000","180000","United States","Senior","Full-time","In-person","United States","M"
"2023","Data Engineer","Data Engineering","USD","196200","196200","United States","Executive","Full-time","In-person","United States","M"
"2023","Data Engineer","Data Engineering","USD","150900","150900","United States","Executive","Full-time","In-person","United States","M"
"2023","Data Scientist","Data Science and Research","USD","168400","168400","United States","Senior","Full-time","In-person","United States","M"
"2023","Data Scientist","Data Science and Research","USD","105200","105200","United States","Senior","Full-time","In-person","United States","M"
"2023","Data Engineer","Data Engineering","USD","95000","95000","Spain","Mid-level","Full-time","Remote","Spain","M"
"2023","Data Engineer","Data Engineering","USD","80000","80000","Spain","Mid-level","Full-time","Remote","Spain","M"
"2023","Data Analyst","Data Analysis","USD","116000","116000","United States","Mid-level","Full-time","In-person","United States","M"
"2023","Data Analyst","Data Analysis","USD","72000","72000","United States","Mid-level","Full-time","In-person","United States","M"
"2023","Analytics Engineer","Leadership and Management","USD","207000","207000","United States","Senior","Full-time","In-person","United States","M"
"2023","Analytics Engineer","Leadership and Management","USD","167000","167000","United States","Senior","Full-time","In-person","United States","M"
"2023","Machine Learning Engineer","Machine Learning and AI","USD","145000","145000","United States","Senior","Full-time","In-person","United States","M"
"2023","Machine Learning Engineer","Machine Learning and AI","USD","135000","135000","United States","Senior","Full-time","In-person","United States","M"
"2023","Data Engineer","Data Engineering","USD","105000","105000","United States","Mid-level","Full-time","In-person","United States","M"
"2023","Data Engineer","Data Engineering","USD","70000","70000","United States","Mid-level","Full-time","In-person","United States","M"
"2023","Data Architect","Data Architecture and Modeling","USD","180000","180000","United States","Senior","Full-time","Remote","United States","M"
"2023","Data Architect","Data Architecture and Modeling","USD","115000","115000","United States","Senior","Full-time","Remote","United States","M"
"2023","Data Engineer","Data Engineering","USD","133800","133800","United States","Senior","Full-time","Remote","United States","M"
"2023","Data Engineer","Data Engineering","USD","96100","96100","United States","Senior","Full-time","Remote","United States","M"
"2023","Data Analyst","Data Analysis","USD","120000","120000","United States","Mid-level","Full-time","In-person","United States","M"
"2023","Data Analyst","Data Analysis","USD","80000","80000","United States","Mid-level","Full-time","In-person","United States","M"
"2023","Data Science Engineer","Data Science and Research","USD","140000","140000","United States","Senior","Full-time","In-person","United States","M"
"2023","Data Science Engineer","Data Science and Research","USD","100000","100000","United States","Senior","Full-time","In-person","United States","M"
"2023","Research Scientist","Data Science and Research","USD","150000","150000","United States","Senior","Full-time","In-person","United States","M"
"2023","Research Scientist","Data Science and Research","USD","120000","120000","United States","Senior","Full-time","In-person","United States","M"
"2023","Cloud Database Engineer","Cloud and Database","USD","140000","140000","United States","Senior","Full-time","Remote","United States","M"
"2023","Cloud Database Engineer","Cloud and Database","USD","115000","115000","United States","Senior","Full-time","Remote","United States","M"
"2023","Data Science Manager","Data Science and Research","USD","297300","297300","United States","Senior","Full-time","Remote","United States","M"
"2023","Data Science Manager","Data Science and Research","USD","198200","198200","United States","Senior","Full-time","Remote","United States","M"
"2023","Data Scientist","Data Science and Research","USD","297300","297300","United States","Senior","Full-time","Remote","United States","M"
"2023","Data Scientist","Data Science and Research","USD","198200","198200","United States","Senior","Full-time","Remote","United States","M"
"2023","Data Engineer","Data Engineering","USD","202000","202000","United States","Senior","Full-time","Remote","United States","M"
"2023","Data Engineer","Data Engineering","USD","135000","135000","United States","Senior","Full-time","Remote","United States","M"
"2023","Data Scientist","Data Science and Research","USD","110000","110000","United States","Senior","Full-time","Remote","United States","M"
"2023","Data Scientist","Data Science and Research","USD","84000","84000","United States","Senior","Full-time","Remote","United States","M"
"2023","Machine Learning Engineer","Machine Learning and AI","USD","219000","219000","United States","Mid-level","Full-time","Hybrid","United States","L"
"2023","Applied Scientist","Data Science and Research","USD","230000","230000","United States","Senior","Full-time","Remote","United States","M"
"2023","Applied Scientist","Data Science and Research","USD","196000","196000","United States","Senior","Full-time","Remote","United States","M"
"2023","BI Developer","BI and Visualization","USD","140000","140000","United States","Senior","Full-time","Remote","United States","M"
"2023","BI Developer","BI and Visualization","USD","110000","110000","United States","Senior","Full-time","Remote","United States","M"
"2023","Data Analyst","Data Analysis","USD","150000","150000","United States","Mid-level","Full-time","In-person","United States","M"
"2023","Data Analyst","Data Analysis","USD","100000","100000","United States","Mid-level","Full-time","In-person","United States","M"
"2023","Data Engineer","Data Engineering","USD","160000","160000","United States","Senior","Full-time","In-person","United States","M"
"2023","Data Engineer","Data Engineering","USD","110000","110000","United States","Senior","Full-time","In-person","United States","M"
"2023","Data Scientist","Data Science and Research","USD","185900","185900","United States","Senior","Full-time","In-person","United States","M"
"2023","Data Scientist","Data Science and Research","USD","129300","129300","United States","Senior","Full-time","In-person","United States","M"
"2023","Applied Scientist","Data Science and Research","USD","126100","126100","United States","Senior","Full-time","In-person","United States","L"
"2023","Applied Scientist","Data Science and Research","USD","72000","72000","United States","Senior","Full-time","In-person","United States","L"
"2023","Data Engineer","Data Engineering","USD","170000","170000","United States","Senior","Full-time","Remote","United States","M"
"2023","Data Engineer","Data Engineering","USD","150000","150000","United States","Senior","Full-time","Remote","United States","M"
"2023","Machine Learning Engineer","Machine Learning and AI","USD","175000","175000","United States","Mid-level","Full-time","Remote","United States","M"
"2023","Machine Learning Engineer","Machine Learning and AI","USD","140000","140000","United States","Mid-level","Full-time","Remote","United States","M"
"2023","Data Analyst","Data Analysis","USD","240500","240500","United States","Senior","Full-time","In-person","United States","M"
"2023","Data Analyst","Data Analysis","USD","137500","137500","United States","Senior","Full-time","In-person","United States","M"
"2023","Data Scientist","Data Science and Research","USD","187500","187500","United States","Mid-level","Full-time","In-person","United States","M"
"2023","Data Scientist","Data Science and Research","USD","165000","165000","United States","Mid-level","Full-time","In-person","United States","M"
"2023","Machine Learning Research Engineer","Data Science and Research","GBP","60000","73824","United Kingdom","Mid-level","Full-time","In-person","United Kingdom","L"
"2022","Data Analyst","Data Analysis","EUR","24000","25216","Spain","Entry-level","Part-time","Remote","United States","L"
"2023","Research Scientist","Data Science and Research","USD","210000","210000","United States","Senior","Full-time","In-person","United States","M"
"2023","Research Scientist","Data Science and Research","USD","165750","165750","United States","Senior","Full-time","In-person","United States","M"
"2023","Machine Learning Scientist","Machine Learning and AI","USD","225000","225000","United States","Senior","Full-time","Remote","United States","M"
"2023","Machine Learning Scientist","Machine Learning and AI","USD","165750","165750","United States","Senior","Full-time","Remote","United States","M"
"2023","Machine Learning Engineer","Machine Learning and AI","GBP","89700","110367","United Kingdom","Mid-level","Full-time","In-person","United Kingdom","M"
"2023","Machine Learning Engineer","Machine Learning and AI","GBP","55250","67979","United Kingdom","Mid-level","Full-time","In-person","United Kingdom","M"
"2023","Data Scientist","Data Science and Research","USD","135000","135000","United States","Senior","Full-time","Remote","United States","M"
"2023","Data Scientist","Data Science and Research","USD","115000","115000","United States","Senior","Full-time","Remote","United States","M"
"2023","NLP Engineer","Machine Learning and AI","USD","275000","275000","United States","Senior","Full-time","In-person","United States","M"
"2023","NLP Engineer","Machine Learning and AI","USD","175000","175000","United States","Senior","Full-time","In-person","United States","M"
"2023","Data Scientist","Data Science and Research","USD","170000","170000","United States","Senior","Full-time","Remote","United States","M"
"2023","Data Scientist","Data Science and Research","USD","140000","140000","United States","Senior","Full-time","Remote","United States","M"
"2023","Data Engineer","Data Engineering","USD","175308","175308","United States","Senior","Full-time","In-person","United States","M"
"2023","Data Engineer","Data Engineering","USD","100706","100706","United States","Senior","Full-time","In-person","United States","M"
"2023","NLP Engineer","Machine Learning and AI","USD","235000","235000","United States","Senior","Full-time","In-person","United States","M"
"2023","NLP Engineer","Machine Learning and AI","USD","135000","135000","United States","Senior","Full-time","In-person","United States","M"
"2023","Data Engineer","Data Engineering","USD","310000","310000","United States","Senior","Full-time","In-person","United States","M"
"2023","Data Engineer","Data Engineering","USD","229000","229000","United States","Senior","Full-time","In-person","United States","M"
"2023","ML Engineer","Machine Learning and AI","USD","289076","289076","United States","Senior","Full-time","In-person","United States","M"
"2023","ML Engineer","Machine Learning and AI","USD","202353","202353","United States","Senior","Full-time","In-person","United States","M"
"2023","Data Engineer","Data Engineering","EUR","65000","70179","Portugal","Senior","Full-time","In-person","Portugal","M"
"2023","Data Engineer","Data Engineering","EUR","35000","37788","Portugal","Senior","Full-time","In-person","Portugal","M"
"2023","Research Engineer","Data Science and Research","USD","120000","120000","United States","Mid-level","Full-time","Remote","United States","M"
"2023","Research Engineer","Data Science and Research","USD","100000","100000","United States","Mid-level","Full-time","Remote","United States","M"
"2023","Data Engineer","Data Engineering","USD","226700","226700","United States","Senior","Full-time","In-person","United States","M"
"2023","Data Engineer","Data Engineering","USD","133300","133300","United States","Senior","Full-time","In-person","United States","M"
"2023","Data Analyst","Data Analysis","USD","125000","125000","United States","Senior","Full-time","In-person","United States","M"
"2023","Data Analyst","Data Analysis","USD","85000","85000","United States","Senior","Full-time","In-person","United States","M"
"2023","Data Analyst","Data Analysis","USD","130000","130000","United States","Senior","Full-time","Remote","United States","M"
"2023","Data Analyst","Data Analysis","USD","80000","80000","United States","Senior","Full-time","Remote","United States","M"
"2023","Data Engineer","Data Engineering","USD","120000","120000","United States","Mid-level","Full-time","In-person","United States","M"
"2023","Data Engineer","Data Engineering","USD","100000","100000","United States","Mid-level","Full-time","In-person","United States","M"
"2023","Data Engineer","Data Engineering","USD","231250","231250","United States","Senior","Full-time","Remote","United States","M"
"2023","Data Engineer","Data Engineering","USD","138750","138750","United States","Senior","Full-time","Remote","United States","M"
"2023","Data Engineer","Data Engineering","USD","199000","199000","United States","Senior","Full-time","In-person","United States","M"
"2023","Data Engineer","Data Engineering","USD","162000","162000","United States","Senior","Full-time","In-person","United States","M"
"2023","Data Engineer","Data Engineering","USD","160000","160000","United States","Entry-level","Full-time","In-person","United States","M"
"2023","Data Engineer","Data Engineering","USD","135000","135000","United States","Entry-level","Full-time","In-person","United States","M"
"2022","Data Scientist","Data Science and Research","USD","100000","100000","United States","Entry-level","Full-time","Remote","United States","M"
"2023","Research Scientist","Data Science and Research","USD","200000","200000","United States","Senior","Full-time","In-person","United States","M"
"2023","Research Scientist","Data Science and Research","USD","150000","150000","United States","Senior","Full-time","In-person","United States","M"
"2023","Research Engineer","Data Science and Research","USD","160000","160000","United States","Entry-level","Full-time","In-person","United States","M"
"2023","Research Engineer","Data Science and Research","USD","120000","120000","United States","Entry-level","Full-time","In-person","United States","M"
"2023","Research Scientist","Data Science and Research","USD","250000","250000","United States","Senior","Full-time","In-person","United States","M"
"2023","Research Scientist","Data Science and Research","USD","200000","200000","United States","Senior","Full-time","In-person","United States","M"
"2023","Deep Learning Engineer","Machine Learning and AI","USD","150000","150000","United States","Entry-level","Full-time","In-person","United States","M"
"2023","Deep Learning Engineer","Machine Learning and AI","USD","120000","120000","United States","Entry-level","Full-time","In-person","United States","M"
"2023","Research Engineer","Data Science and Research","USD","150000","150000","United States","Senior","Full-time","In-person","United States","M"
"2023","Research Engineer","Data Science and Research","USD","100000","100000","United States","Senior","Full-time","In-person","United States","M"
"2022","Data Analytics Manager","Leadership and Management","USD","133000","133000","Netherlands","Senior","Full-time","In-person","Netherlands","L"
"2023","Data Scientist","Data Science and Research","USD","272550","272550","United States","Senior","Full-time","In-person","United States","M"
"2023","Data Scientist","Data Science and Research","USD","198200","198200","United States","Senior","Full-time","In-person","United States","M"
"2023","Data Scientist","Data Science and Research","USD","182000","182000","United States","Senior","Full-time","In-person","United States","M"
"2023","Data Scientist","Data Science and Research","USD","140000","140000","United States","Senior","Full-time","In-person","United States","M"
"2023","Data Engineer","Data Engineering","USD","200000","200000","United States","Senior","Full-time","In-person","United States","M"
"2023","Data Engineer","Data Engineering","USD","160000","160000","United States","Senior","Full-time","In-person","United States","M"
"2023","Machine Learning Engineer","Machine Learning and AI","USD","204500","204500","United States","Senior","Full-time","In-person","United States","M"
"2023","Machine Learning Engineer","Machine Learning and AI","USD","142200","142200","United States","Senior","Full-time","In-person","United States","M"
"2023","Data Scientist","Data Science and Research","USD","120000","120000","United States","Mid-level","Full-time","In-person","United States","M"
"2023","Data Scientist","Data Science and Research","USD","105000","105000","United States","Mid-level","Full-time","In-person","United States","M"
"2023","Data Engineer","Data Engineering","USD","187500","187500","United States","Senior","Full-time","Remote","United States","M"
"2023","Data Engineer","Data Engineering","USD","175000","175000","United States","Senior","Full-time","Remote","United States","M"
"2023","Machine Learning Engineer","Machine Learning and AI","USD","204500","204500","United States","Senior","Full-time","In-person","United States","M"
"2023","Machine Learning Engineer","Machine Learning and AI","USD","142200","142200","United States","Senior","Full-time","In-person","United States","M"
"2023","Data Analyst","Data Analysis","USD","155000","155000","United States","Senior","Full-time","Remote","United States","M"
"2023","Data Analyst","Data Analysis","USD","64000","64000","United States","Senior","Full-time","Remote","United States","M"
"2023","Computer Vision Engineer","Machine Learning and AI","USD","235000","235000","United States","Senior","Full-time","In-person","United States","M"
"2023","Computer Vision Engineer","Machine Learning and AI","USD","185000","185000","United States","Senior","Full-time","In-person","United States","M"
"2023","Data Architect","Data Architecture and Modeling","USD","174500","174500","United States","Senior","Full-time","In-person","United States","M"
"2023","Data Architect","Data Architecture and Modeling","USD","113000","113000","United States","Senior","Full-time","In-person","United States","M"
"2023","Data Scientist","Data Science and Research","USD","143100","143100","Canada","Senior","Full-time","In-person","Canada","M"
"2023","Data Scientist","Data Science and Research","USD","113000","113000","Canada","Senior","Full-time","In-person","Canada","M"
"2023","Applied Scientist","Data Science and Research","USD","184000","184000","United States","Senior","Full-time","Remote","United States","M"
"2023","Applied Scientist","Data Science and Research","USD","142000","142000","United States","Senior","Full-time","Remote","United States","M"
"2023","Data Scientist","Data Science and Research","USD","140000","140000","United States","Senior","Full-time","In-person","United States","M"
"2023","Data Scientist","Data Science and Research","USD","120000","120000","United States","Senior","Full-time","In-person","United States","M"
"2023","Data Architect","Data Architecture and Modeling","USD","174500","174500","United States","Senior","Full-time","In-person","United States","M"
"2023","Data Architect","Data Architecture and Modeling","USD","113000","113000","United States","Senior","Full-time","In-person","United States","M"
"2023","Data Scientist","Data Science and Research","USD","180560","180560","United States","Senior","Full-time","In-person","United States","M"
"2023","Data Scientist","Data Science and Research","USD","115440","115440","United States","Senior","Full-time","In-person","United States","M"
"2023","Data Scientist","Data Science and Research","USD","140000","140000","United States","Senior","Full-time","In-person","United States","M"
"2023","Data Scientist","Data Science and Research","USD","120000","120000","United States","Senior","Full-time","In-person","United States","M"
"2023","Research Scientist","Data Science and Research","USD","248100","248100","United States","Senior","Full-time","In-person","United States","M"
"2023","Research Scientist","Data Science and Research","USD","145900","145900","United States","Senior","Full-time","In-person","United States","M"
"2023","Data Scientist","Data Science and Research","USD","120000","120000","Canada","Senior","Full-time","In-person","Canada","M"
"2023","Data Scientist","Data Science and Research","USD","110000","110000","Canada","Senior","Full-time","In-person","Canada","M"
"2023","Data Engineer","Data Engineering","USD","291500","291500","United States","Senior","Full-time","In-person","United States","M"
"2023","Data Engineer","Data Engineering","USD","180000","180000","United States","Senior","Full-time","In-person","United States","M"
"2023","Machine Learning Engineer","Machine Learning and AI","GBP","62000","76284","United Kingdom","Mid-level","Full-time","Remote","United Kingdom","M"
"2023","Machine Learning Engineer","Machine Learning and AI","GBP","52000","63980","United Kingdom","Mid-level","Full-time","Remote","United Kingdom","M"
"2023","Data Engineer","Data Engineering","USD","161800","161800","United States","Senior","Full-time","In-person","United States","M"
"2023","Data Engineer","Data Engineering","USD","141600","141600","United States","Senior","Full-time","In-person","United States","M"
"2023","Machine Learning Engineer","Machine Learning and AI","GBP","48000","59059","United Kingdom","Mid-level","Full-time","Remote","United Kingdom","M"
"2023","Machine Learning Engineer","Machine Learning and AI","GBP","38000","46755","United Kingdom","Mid-level","Full-time","Remote","United Kingdom","M"
"2023","Data Engineer","Data Engineering","USD","166000","166000","United States","Senior","Full-time","Remote","United States","M"
"2023","Data Engineer","Data Engineering","USD","128000","128000","United States","Senior","Full-time","Remote","United States","M"
"2023","Data Architect","Data Architecture and Modeling","USD","170000","170000","United States","Senior","Full-time","Remote","United States","M"
"2023","Data Architect","Data Architecture and Modeling","USD","110000","110000","United States","Senior","Full-time","Remote","United States","M"
"2023","Data Engineer","Data Engineering","USD","160000","160000","United States","Senior","Full-time","Remote","United States","M"
"2023","Data Engineer","Data Engineering","USD","75000","75000","United States","Senior","Full-time","Remote","United States","M"
"2023","Data Engineer","Data Engineering","USD","236000","236000","United States","Senior","Full-time","Remote","United States","M"
"2023","Data Engineer","Data Engineering","USD","182000","182000","United States","Senior","Full-time","Remote","United States","M"
"2022","Data Scientist","Data Science and Research","USD","130000","130000","United States","Entry-level","Full-time","In-person","United States","M"
"2023","Data Analyst","Data Analysis","USD","150000","150000","United States","Mid-level","Full-time","In-person","United States","M"
"2023","Data Analyst","Data Analysis","USD","100000","100000","United States","Mid-level","Full-time","In-person","United States","M"
"2023","Machine Learning Engineer","Machine Learning and AI","USD","261500","261500","United States","Senior","Full-time","In-person","United States","L"
"2023","Machine Learning Engineer","Machine Learning and AI","USD","134500","134500","United States","Senior","Full-time","In-person","United States","L"
"2023","Data Scientist","Data Science and Research","USD","130000","130000","United States","Mid-level","Full-time","In-person","United States","M"
"2023","Data Scientist","Data Science and Research","USD","90000","90000","United States","Mid-level","Full-time","In-person","United States","M"
"2023","Data Engineer","Data Engineering","USD","160000","160000","United States","Entry-level","Full-time","In-person","United States","M"
"2023","Data Engineer","Data Engineering","USD","135000","135000","United States","Entry-level","Full-time","In-person","United States","M"
"2022","Manager Data Management","Leadership and Management","USD","125000","125000","United States","Senior","Full-time","Remote","United States","L"
"2022","Data Engineer","Data Engineering","USD","175000","175000","United States","Senior","Full-time","In-person","United States","M"
"2022","Data Engineer","Data Engineering","USD","155000","155000","United States","Senior","Full-time","In-person","United States","M"
"2022","Data Engineer","Data Engineering","USD","153600","153600","United States","Senior","Full-time","In-person","United States","M"
"2022","Data Engineer","Data Engineering","USD","106800","106800","United States","Senior","Full-time","In-person","United States","M"
"2022","Data Scientist","Data Science and Research","USD","150000","150000","United States","Senior","Full-time","In-person","United States","M"
"2022","Data Scientist","Data Science and Research","USD","140000","140000","United States","Senior","Full-time","In-person","United States","M"
"2022","Data Science Consultant","Data Science and Research","USD","122000","122000","United States","Senior","Full-time","In-person","United States","M"
"2022","Data Science Consultant","Data Science and Research","USD","94500","94500","United States","Senior","Full-time","In-person","United States","M"
"2022","Data Engineer","Data Engineering","USD","170000","170000","United States","Senior","Full-time","In-person","United States","M"
"2022","Data Engineer","Data Engineering","USD","130000","130000","United States","Senior","Full-time","In-person","United States","M"
"2022","Data Science Consultant","Data Science and Research","USD","145000","145000","United States","Senior","Full-time","In-person","United States","M"
"2022","Data Science Consultant","Data Science and Research","USD","128000","128000","United States","Senior","Full-time","In-person","United States","M"
"2022","Data Engineer","Data Engineering","USD","145000","145000","United States","Senior","Full-time","In-person","United States","M"
"2022","Data Engineer","Data Engineering","USD","100000","100000","United States","Senior","Full-time","In-person","United States","M"
"2022","Data Engineer","Data Engineering","USD","175000","175000","United States","Senior","Full-time","In-person","United States","M"
"2022","Data Engineer","Data Engineering","USD","120000","120000","United States","Senior","Full-time","In-person","United States","M"
"2022","Data Engineer","Data Engineering","USD","145000","145000","United States","Senior","Full-time","In-person","United States","M"
"2022","Data Engineer","Data Engineering","USD","115000","115000","United States","Senior","Full-time","In-person","United States","M"
"2022","Applied Machine Learning Scientist","Machine Learning and AI","USD","150000","150000","United States","Senior","Full-time","Remote","United States","M"
"2022","Data Analyst","Data Analysis","USD","150000","150000","United States","Mid-level","Full-time","In-person","United States","M"
"2022","Data Analyst","Data Analysis","USD","100000","100000","United States","Mid-level","Full-time","In-person","United States","M"
"2022","Data Scientist","Data Science and Research","USD","150000","150000","United States","Mid-level","Full-time","Remote","United States","M"
"2022","Data Scientist","Data Science and Research","USD","127500","127500","United States","Mid-level","Full-time","Remote","United States","M"
"2022","Data Scientist","Data Science and Research","USD","126500","126500","United States","Senior","Full-time","Remote","United States","M"
"2022","Data Scientist","Data Science and Research","USD","51000","51000","United States","Senior","Full-time","Remote","United States","M"
"2022","Data Engineer","Data Engineering","USD","260000","260000","United States","Mid-level","Full-time","In-person","United States","M"
"2022","Data Engineer","Data Engineering","USD","175000","175000","United States","Mid-level","Full-time","In-person","United States","M"
